,Slave_Price_AVG,RGDP_PerCap_US
1800,,1296
1801,,1320
1802,,1341
1803,,1319
1804,216.9014085,1318
1805,157.4468085,1345
1806,215.6462585,1370
1807,205.7553957,1383
1808,238.410596,1286
1809,183.7837838,1349
1810,187.1621622,1388
1811,155.6962025,1415
1812,178.75,1391
1813,147.9166667,1406
1814,146.4454976,1433
1815,147.027027,1427
1816,199.408284,1369
1817,251.875,1368
1818,311.7647059,1372
1819,266.0130719,1369
1820,278.7234043,1361
1821,286.0294118,1382
1822,208.5106383,1420
1823,245.2380952,1405
1824,237.0689655,1443
1825,232.7731092,1475
1826,225.210084,1485
1827,206.6666667,1491
1828,221.9298246,1491
1829,250.8928571,1442
1830,245.9459459,1547
1831,296.1538462,1642
1832,320.3883495,1701
1833,355.4455446,1761
1834,366.9902913,1677
1835,400,1741
1836,488.3928571,1766
1837,551.3043478,1711
1838,432.1428571,1695
1839,392.8571429,1778
1840,362.5,1690
1841,366.6666667,1655
1842,320.4081633,1641
1843,314.6067416,1666
1844,306.6666667,1757
1845,375.8241758,1785
1846,389.1304348,1795
1847,385.8585859,1842
1848,434.7368421,1890
1849,420.6521739,1841
1850,401.0638298,1849
1851,478.2608696,1924
1852,506.4516129,2022
1853,607.5268817,2160
1854,595.049505,2166
1855,576.9230769,2118
1856,643.1372549,2163
1857,605.7142857,2115
1858,651.5151515,2126
1859,801,2183
1860,778,2241
1861,700,2195
1862,,2263
1863,,2410
1864,,2489
1865,,2360