State,Region,Division,HDI,HDI_M,HDI_F,LE,LE_M,LE_F,Earnings,Earnings_M,Earnings_F,pctNoHS,pctNoHS_M,pctNoHS_F,pctHSDiploma,pctHSDiploma_M,pctHSDiploma_F,pctBA,pctBA_M,pctBA_F,pctMAPlus,pctMAPlus_M,pctMAPlus_F,pctSchoolEnrollM,pctSchoolEnroll_M,pctSchoolEnroll_F,pctLowBRTHWGHT,pctNoPreSchool,pct4THGRADE<READPROF,pctHSNotGrad4YR,pctCHLDRNPVRTY,pctSENIOR PVRTY,pctPRESCHOOL,pctLEARNINGESL,pctSpEd,pctEconDISADVSTDNTS,pct4THGRADE>=PROFREAD,pct8THGRADE>=PROFMATH,pctPUBLICHSGRAD,pctHSGRADtoCLG,ANNUALCOST4YRPUB,ANNUALCOST4YRPRIV,ANNUALCOST2YRPUB,PUBLIC$perPUPIL,$HIGHERED_PC,$RD_PC,pctINTERNET,pctTEEN_NSNW,TotalPOP,pct<18,pct>65,pctURBAN,pctRURAL,pctWHITE,pctLATINO,pctAFRAMER,pctASIAN,pctNATIVE,pctOTHER,pctHOMELESS,pctLongCommute,IMR,CMR,pctDiabetes,pctObesity,TEENBIRTHRATE,PHYSICIANRATE,pctSmoking,pctBingeDrink,pctUnINs,TotArmy,ArmyRate2007,ArmyRate2008,ViolCrimeRate,PropCrimeRate,HOMICIDERATE,pctFIREARM,SUICIDERATE,RAPERATE,PrisonerRate,PrisonExp_PP,pctVoter,pctWMNLEGISLATURE,CO2_PC,CARCINOGEN,LEAD,MERCURY,PROTECTFOREST,ENRGCONS_PC,WATERCONS_PDPC,LABORFORCE,GDP_PC,MinWage,pctPOVERTY,pctCHLDPOVERTY,UR,pctMNGMT,pctSERVICE,pctSALESOFFICE,pctFARMFISH,pctCONSTRMAINT,pctPRODTRANSP
Mississippi,South,EastSouthAtlntc,3.81,3.73,3.95,75.0,71.86,78.0,24430,29456.00,25850.00,19.0,20.99,17.22,81.0,79.01,82.78,19.5,18.33,20.56,7.1,6.68,7.41,76.1,75.05,77.17,12.1,47.4,78.2,36.2,37.8,11.9,54.45,1.0,13.0,71.0,21.8,19.3,63.8,78.8,"12,051","20,029","2,141","8,693       ",893,138       ,61.4,9.0,"2,967,297",25.5,12.8,49.3,50.7      ,58.0,2.7,36.9,0.9,0.5,1.0,0.1,6.7,9.7,54.2,11.3,34.9,55.0,18.3,26.0,14.2,19.0,684,1.3,1.6,260.8,2811.0,7.4,75.9,13.0,27.5,749,15331.2,59.7,14.4,21.7,6770072,1094970,0.6,É,420630.0,1131.0,70.1,28337.0,É,22.4,32.5,8.2,30.1,17.1,24.2,0.9,11.3,16.3
Missouri,MidWest,WestNorthCntrl,4.60,4.54,4.59,77.5,74.92,80.1,26603,31257.00,20837.00,13.1,13.47,12.84,86.9,86.53,87.16,25.6,25.44,25.73,9.5,9.58,9.51,76.6,74.91,77.49,8.2,54.9,66.0,16.3,26.0,9.1,42.96,2.0,14.0,44.0,34.0,31.5,83.7,61.4,"15,110","26,754","2,440","10,441       ",202,162       ,72.4,8.1,"5,988,927",23.8,14.0,70.4,29.6      ,81.0,3.5,11.5,1.6,0.4,2.0,0.1,5.4,6.6,35.0,9.1,30.3,37.1,26.3,25.0,19.2,14.0,1562,2.0,1.9,450.9,3314.4,6.5,72.8,14.0,25.1,515,20120.8,62.5,22.3,24.1,29529729,27030661,1.2,154.0,321911.0,1698.1,77.1,36169.0,7.3,15.3,20.9,6.3,33.6,16.9,25.6,0.6,9.4,13.8
Montana,West,Mountain,4.54,4.76,4.42,78.5,76.38,80.6,23606,29574.00,22391.00,8.3,8.91,7.64,91.7,91.09,92.36,28.8,28.29,29.31,9.0,9.71,8.28,75.7,75.89,75.92,7.5,56.4,64.3,18.1,24.2,7.0,37.22,2.0,12.0,41.0,35.7,45.6,81.9,60.5,"12,891","24,314","3,173","10,986       ",545,192       ,71.7,9.8,"989,415",22.6,14.8,55.9,44.1      ,87.8,2.9,0.4,0.6,6.1,2.3,0.1,4.1,5.9,36.2,6.5,24.6,35.0,22.5,22.1,20.8,18.0,286,2.4,2.1,272.2,2583.7,2.7,50.0,21.8,37.7,368,46770.6,62.6,26.0,37.0,9678546,7737974,4.4,170749.0,434759.0,12088.1,76.8,32742.0,7.3,14.6,20.1,5.5,33.8,18.1,24.9,1.5,11.5,10.3
Nebraska,MidWest,WestNorthCntrl,5.11,5.17,4.98,79.8,77.70,81.9,26475,31787.00,19647.00,9.6,10.50,8.83,90.4,89.50,91.17,28.6,28.57,28.69,9.0,9.53,8.52,80.2,78.39,81.81,7.1,52.1,63.7,16.2,22.2,7.5,45.00,7.0,15.0,43.0,36.3,32.8,83.8,69.5,"14,081","24,863","2,391","11,567       ",1077,211       ,76.7,3.9,"1,826,341",25.1,13.5,73.1,26.9      ,82.1,9.2,4.4,1.7,0.8,1.7,0.2,3.0,5.3,26.2,7.8,28.4,31.1,24.5,20.0,22.7,13.0,386,1.5,1.5,259.4,2754.9,2.9,80.8,10.4,38.3,238,50237.6,60.1,20.4,24.5,1512690,673728,1.3,É,373806.0,8049.2,83.0,44594.0,7.3,12.9,18.2,3.6,33.9,16.3,25.5,1.5,8.7,14.0
Nevada,West,Mountain,4.63,4.48,4.69,78.1,75.62,80.6,29526,31978.00,21615.00,15.3,15.31,15.39,84.7,84.69,84.61,21.7,22.52,20.86,7.4,7.97,6.73,71.8,71.16,72.42,8.3,68.1,74.5,42.2,26.4,7.6,28.44,19.0,11.0,48.0,25.5,28.6,57.8,51.8,"14,172","25,913","2,243","8,950       ",390,73       ,78.5,11.3,"2,700,551",24.6,12.0,94.2,5.8      ,54.1,26.5,7.7,7.1,0.9,3.7,0.5,5.6,5.6,34.8,8.6,24.5,38.6,19.8,22.9,18.6,22.0,774,2.1,2.4,607.6,2809.4,4.5,60.3,19.8,33.7,497,29810.3,57.1,31.7,19.3,153143381,90940251,2042.5,111.0,297730.0,1108.4,77.7,40970.0,6.6,14.9,22.0,9.5,27.2,25.6,25.9,0.2,11.7,9.4
New Hampshire,NorthEast,NewEngland,5.73,5.92,5.58,80.3,78.05,82.5,32207,40027.00,25895.00,8.5,9.16,7.96,91.5,90.84,92.04,32.8,32.52,33.01,12.4,12.62,12.15,79.4,79.71,79.56,6.9,47.0,56.6,13.7,13.8,6.1,51.50,2.0,15.0,25.0,43.4,43.6,86.3,64.3,"21,481","38,881","6,687","13,037       ",182,230       ,87.1,3.9,"1,316,470",21.8,13.5,60.3,39.7      ,92.3,2.8,1.0,2.1,0.2,1.5,0.1,9.4,4.0,18.0,7.2,26.2,15.7,29.5,19.4,18.7,11.0,252,1.4,1.4,187.9,2324.0,1.1,64.3,14.1,34.0,213,37495.6,70.1,37.0,16.0,73874,13600,0.2,217424.0,263234.0,1137.2,81.2,42818.0,7.3,8.3,10.0,5.2,38.9,15.4,25.2,0.4,8.9,11.2
New Jersey,NorthEast,MidAtlantic,6.12,6.17,6.02,80.3,77.84,82.5,37230,44414.00,26297.00,12.0,12.36,11.58,88.0,87.64,88.42,35.4,36.22,34.65,13.3,14.17,12.43,81.3,80.22,82.12,8.2,36.6,56.1,12.8,16.8,7.2,67.32,4.0,17.0,33.0,43.9,46.8,87.2,68.6,"22,592","39,707","3,553","17,775       ",411,101       ,82.3,6.5,"8,791,894",23.5,13.5,94.7,5.3      ,59.3,17.7,12.8,8.2,0.1,1.9,0.2,13.9,4.8,20.4,8.4,23.7,20.1,31.8,16.8,18.2,16.0,999,0.8,0.9,290.2,2047.3,4.4,70.9,7.7,11.7,305,62891.7,61.9,29.2,15.5,1114619,292871,0.1,5498.0,304378.0,960.4,77.9,49020.0,7.3,10.3,14.5,8.4,39.3,15.8,26.6,0.1,7.9,10.4
New Mexico,West,Mountain,4.52,4.40,4.58,78.4,75.62,81.3,25481,29909.00,31121.00,16.7,17.72,15.66,83.3,82.28,84.34,25.0,25.15,24.82,10.8,11.11,10.54,74.7,72.04,76.69,8.7,60.3,79.4,32.7,32.9,12.0,42.92,16.0,14.0,67.0,20.6,23.8,67.3,72.4,"12,520","24,480","1,462","9,821       ",1363,210       ,65.8,9.7,"2,059,179",25.2,13.2,77.4,22.6      ,40.5,46.3,1.7,1.3,8.5,1.7,0.2,5.7,5.6,41.5,7.9,26.3,53.0,23.8,21.5,16.4,21.0,528,1.6,1.8,559.1,3600.7,5.6,61.5,20.1,45.9,307,45971.6,54.7,30.4,29.9,9165816,8566014,1.0,7706.0,360589.0,1951.4,72.9,33872.0,7.5,20.4,30.0,6.2,33.8,18.2,24.3,1.2,12.0,10.5
New York,NorthEast,MidAtlantic,5.66,5.58,5.79,80.5,77.92,82.8,32088,37063.00,21379.00,15.1,15.53,14.80,84.9,84.47,85.20,32.5,32.31,32.75,14.0,13.39,14.46,79.1,77.84,80.46,8.2,42.3,65.0,24.0,23.7,10.9,60.14,8.0,17.0,48.0,35.0,30.0,76.0,68.9,"16,606","41,626","3,848","19,560       ",421,208       ,79.7,7.3,"19,378,102",22.3,13.5,87.9,12.1      ,58.3,17.6,14.4,7.3,0.3,2.1,0.3,16.6,5.1,22.3,8.4,24.5,22.7,36.4,18.1,19.6,14.0,2971,1.1,1.1,406.8,1922.0,3.5,59.7,7.7,14.6,317,54154.4,53.2,24.1,11.0,2487402,537896,0.4,135820.0,220890.0,879.4,74.4,52657.0,7.3,14.9,21.2,7.3,37.3,19.4,25.7,0.3,7.5,9.9
North Carolina,South,SouthAtlntc,4.57,4.44,4.67,77.8,75.10,80.4,26398,30397.00,28902.00,15.3,17.17,13.53,84.7,82.83,86.47,26.5,26.31,26.58,8.7,8.91,8.51,76.2,74.58,77.94,9.1,56.3,66.3,23.1,28.8,9.9,49.51,7.0,12.0,50.0,33.7,37.0,76.9,64.0,"12,874","33,290","1,832","9,162       ",532,215       ,72.0,8.4,"9,535,483",23.9,12.9,66.1,33.9      ,65.3,8.4,21.2,2.2,1.1,1.8,0.1,5.4,7.0,28.7,9.3,29.1,38.3,25.0,21.8,15.2,17.0,2650,2.1,2.2,353.4,3369.5,4.9,65.7,12.0,20.3,366,35449.0,64.6,25.9,16.9,6510386,1103298,0.6,6696.0,318046.0,1661.0,75.8,39627.0,7.3,17.5,24.9,8.5,33.9,16.2,24.4,0.8,10.6,14.1
North Dakota,MidWest,WestNorthCntrl,4.90,4.90,4.80,79.5,76.87,82.3,27142,32941.00,22777.00,9.7,10.23,9.08,90.3,89.77,90.92,27.6,25.96,29.25,7.9,7.84,7.92,74.1,72.72,73.82,6.7,65.0,64.2,11.6,20.5,12.1,37.57,4.0,14.0,32.0,35.8,42.6,88.4,67.4,"12,503","17,342","3,929","10,211       ",1317,282       ,76.5,6.5,"672,591",22.3,14.5,59.9,40.1      ,88.9,2.0,1.1,1.0,5.3,1.6,0.1,3.9,6.8,28.3,7.6,27.8,28.8,25.0,21.9,23.8,11.0,56,0.6,0.5,244.7,2010.1,4.0,25.0,15.6,38.9,226,49655.2,60.6,17.0,76.7,1547253,131434,5.1,É,631739.0,2360.8,82.8,49847.0,7.3,13.0,16.2,3.5,34.5,17.1,24.3,1.7,10.3,12.1
Ohio,MidWest,EastNorthCntrl,4.71,4.73,4.63,77.8,75.20,80.2,27109,32340.00,21808.00,11.9,12.42,11.33,88.1,87.58,88.67,24.6,25.16,24.13,8.9,9.10,8.80,77.9,76.76,79.24,8.6,54.3,66.3,18.6,28.2,7.7,46.34,2.0,15.0,43.0,33.7,38.9,81.4,61.5,"17,964","33,450","3,227","12,026       ",264,159       ,75.0,6.5,"11,536,504",23.7,14.1,77.9,22.1      ,81.1,3.1,12.0,1.7,0.2,1.9,0.1,4.8,7.7,32.3,9.9,29.7,34.1,28.5,25.1,20.1,14.0,2523,1.6,1.6,299.7,3117.4,4.3,67.8,12.2,31.7,445,39777.2,64.6,22.0,23.3,17889563,4099680,1.3,436.0,351250.0,1124.2,76.7,36892.0,7.3,15.8,23.3,6.7,33.2,17.0,25.2,0.4,8.0,16.3
Oklahoma,South,WestSouthAtlntc,4.14,4.20,4.04,75.9,73.31,78.5,25275,30752.00,22265.00,13.8,14.29,13.28,86.2,85.71,86.72,22.9,23.19,22.60,7.5,7.85,7.19,75.7,74.59,77.04,8.4,57.7,73.4,21.5,28.4,9.3,45.96,6.0,15.0,60.0,26.6,27.3,78.5,60.2,"11,938","27,059","2,578","8,504       ",669,91       ,71.3,7.9,"3,751,351",24.8,13.5,66.2,33.8      ,68.7,8.9,7.3,1.7,8.2,5.3,0.1,4.6,7.6,40.9,10.1,31.1,50.4,21.0,26.1,16.5,17.0,1012,2.3,1.9,469.3,3401.0,5.7,70.3,16.5,41.6,668,20990.3,49.2,11.4,29.3,4447300,1248558,5.6,É,422545.0,549.1,73.8,35726.0,7.3,16.9,24.7,4.4,31.9,16.8,25.4,0.7,11.5,13.6
Oregon,West,Pacific,4.86,4.96,4.77,79.5,77.24,81.8,25719,30826.00,20392.00,11.2,12.10,10.45,88.8,87.90,89.55,28.8,29.21,28.32,10.5,10.90,10.05,76.0,75.81,75.88,6.3,59.1,69.6,23.7,24.7,7.9,43.72,11.0,14.0,51.0,30.4,32.7,76.3,47.8,"16,402","36,589","3,314","10,776       ",716,157       ,81.5,9.4,"3,831,074",22.6,13.9,81.0,19.0      ,78.5,11.7,1.7,3.6,1.1,3.3,0.5,5.6,4.9,23.9,6.9,26.7,28.2,28.3,19.7,16.5,15.0,867,1.7,1.8,247.6,3224.2,2.4,51.9,17.1,29.2,370,59308.2,63.2,28.9,11.0,5255829,768227,0.6,25.0,305217.0,2236.1,75.9,46573.0,8.4,15.8,21.6,7.8,34.5,17.0,25.2,1.7,8.8,12.6
Pennsylvania,NorthEast,MidAtlantic,5.07,5.12,4.94,78.5,75.83,81.1,29294,35418.00,21664.00,11.6,11.75,11.39,88.4,88.25,88.61,27.1,27.72,26.49,10.4,10.72,10.07,78.6,77.56,80.00,8.4,50.3,58.6,15.9,21.8,7.9,49.73,3.0,16.0,39.0,41.4,38.9,84.1,60.9,"19,916","40,548","3,577","13,115       ",186,209       ,75.4,6.4,"12,702,379",22.0,15.4,78.7,21.3      ,79.5,5.7,10.4,2.7,0.1,1.6,0.1,8.3,7.3,28.2,8.8,28.6,27.0,32.6,22.4,18.3,11.0,2171,1.3,1.3,348.7,2166.3,5.4,76.3,11.9,26.1,368,42644.6,59.4,14.6,22.1,14886133,4672988,1.9,2956.0,327923.0,853.6,75.5,39455.0,7.3,13.4,19.1,7.2,35.0,16.2,25.8,0.4,8.5,14.1
Rhode Island,NorthEast,NewEngland,5.38,5.27,5.43,79.9,77.24,82.3,30606,35216.00,23363.00,16.5,17.37,15.73,83.5,82.63,84.27,30.2,30.61,29.88,12.2,12.03,12.30,79.1,77.15,80.33,7.7,51.9,64.8,23.6,22.7,8.2,56.50,5.0,18.0,43.0,35.2,33.9,76.4,65.4,"19,815","42,610","3,652","16,368       ",798,225       ,80.4,7.3,"1,052,567",21.3,14.4,90.7,9.3      ,76.4,12.4,4.9,2.8,0.4,3.1,0.2,5.4,7.1,10.3,7.4,25.4,22.3,37.1,20.0,19.7,12.0,151,1.0,1.0,252.4,2572.3,3.2,55.9,12.3,27.4,241,47494.0,58.0,22.1,10.7,95134,23606,0.0,3461.0,211025.0,426.3,77.5,41061.0,7.4,14.0,19.0,8.8,36.0,18.0,25.8,0.3,7.9,12.0
South Carolina,South,SouthAtlntc,4.35,4.29,4.43,77.0,74.01,79.8,25558,30589.00,26582.00,15.9,17.21,14.78,84.1,82.79,85.22,24.5,24.43,24.64,8.8,8.46,9.08,76.4,75.16,78.29,9.9,50.5,71.7,31.8,31.9,9.8,48.87,5.0,14.0,55.0,28.3,31.8,68.2,68.3,"17,641","27,049","3,643","10,104       ",955,129       ,70.0,8.2,"4,625,364",23.4,13.7,66.3,33.7      ,64.1,5.1,27.7,1.3,0.4,1.6,0.1,5.1,7.4,40.2,10.1,30.8,42.6,23.3,23.1,15.4,20.0,1387,2.1,2.2,558.8,3822.2,6.9,73.1,13.5,35.5,537,24886.3,56.6,10.0,20.0,7901170,1008818,0.5,73428.0,408789.0,2065.2,72.6,31345.0,É,18.2,26.1,7.4,31.9,17.1,25.0,0.4,10.3,15.3
South Dakota,MidWest,WestNorthCntrl,4.79,4.75,4.88,79.5,76.60,82.4,25706,30292.00,21509.00,10.4,11.51,9.26,89.6,88.49,90.74,26.3,26.11,26.40,7.7,8.34,7.09,76.2,75.59,78.40,6.8,59.4,68.7,18.2,21.4,11.1,38.09,3.0,14.0,37.0,31.3,41.7,81.8,71.8,"12,603","21,871","4,700","9,548       ",721,114       ,76.9,6.2,"814,180",24.9,14.3,56.7,43.3      ,84.7,2.7,1.2,0.9,8.5,1.9,0.1,2.6,6.9,40.1,6.6,28.1,34.9,23.0,23.0,22.1,13.0,162,1.2,1.4,321.8,2060.1,3.0,28.6,17.5,70.2,417,29779.6,59.4,20.0,16.5,2351005,2111644,2.6,É,340512.0,719.2,82.0,43561.0,7.3,14.4,18.2,4.0,34.2,16.9,25.0,1.8,9.3,12.9
Tennessee,South,EastSouthAtlntc,4.22,4.18,4.26,76.3,73.48,79.0,25936,30560.00,21601.00,16.4,17.46,15.35,83.6,82.54,84.65,23.1,23.44,22.81,8.5,8.49,8.45,75.3,74.57,76.41,9.0,59.2,74.2,19.6,29.4,9.7,44.47,3.0,12.0,55.0,25.8,23.9,80.4,62.0,"13,759","28,745","3,128","8,760       ",606,127       ,70.4,9.2,"6,346,105",23.6,13.4,66.4,33.6      ,75.6,4.6,16.5,1.4,0.3,1.6,0.2,5.5,7.9,33.9,10.4,29.2,43.2,26.0,23.0,10.0,14.0,1501,1.7,1.9,643.6,3371.4,6.0,65.6,14.6,31.5,434,25557.4,52.2,18.9,20.7,14220266,6267216,1.2,40365.0,388646.0,2018.1,74.1,36370.0,É,17.7,25.7,8.0,32.2,16.5,25.6,0.5,9.6,15.6
Texas,South,WestSouthAtlntc,4.65,4.65,4.56,78.5,76.01,80.8,27034,31550.00,21916.00,19.3,20.00,18.69,80.7,80.00,81.31,25.9,26.52,25.40,8.6,9.30,7.96,76.3,75.55,77.25,8.4,57.3,71.7,21.1,28.7,10.7,42.98,15.0,9.0,50.0,28.3,40.0,78.9,56.2,"14,585","31,674","1,585","9,350       ",407,154       ,69.5,8.2,"25,145,561",27.3,10.3,84.7,15.3      ,45.3,37.6,11.5,3.8,0.3,1.5,0.2,7.4,6.1,31.5,9.7,30.4,52.2,21.5,19.2,18.9,24.0,8077,2.2,2.3,408.6,3361.8,4.4,65.3,11.7,29.6,668,19159.3,49.7,23.2,27.9,27761403,2510761,1.1,13636.0,533133.0,1315.7,74.3,45025.0,7.3,17.9,25.7,6.1,33.1,16.7,25.6,0.5,11.7,12.3
Utah,West,Mountain,5.03,5.45,4.51,80.2,78.28,82.1,25958,34024.00,22266.00,9.4,9.83,8.98,90.6,90.17,91.02,29.3,32.38,26.36,9.4,11.95,6.95,76.9,76.48,77.59,7.0,59.3,66.5,21.4,16.7,6.0,40.55,7.0,12.0,38.0,33.5,34.9,78.6,53.3,"10,768","14,769","2,860","7,149       ",496,156       ,84.7,6.0,"2,763,885",31.5,9.0,90.6,9.4      ,80.4,13.0,0.9,2.0,1.0,2.8,0.1,4.7,4.9,30.2,6.1,24.4,27.9,21.0,11.8,12.0,14.0,494,0.7,1.1,205.8,2991.8,1.8,59.2,18.3,33.0,232,54807.2,55.4,22.1,24.7,65422110,55641374,32.9,64334.0,304504.0,2292.3,77.7,38373.0,7.3,13.2,15.7,4.4,34.6,15.3,27.5,0.3,9.8,12.4
Vermont,NorthEast,NewEngland,5.31,5.29,5.31,80.5,78.17,82.6,27111,31226.00,18955.00,9.0,10.83,7.29,91.0,89.17,92.71,33.6,32.04,35.05,13.3,12.83,13.68,77.6,78.38,78.96,6.1,51.9,58.7,8.6,23.5,6.8,55.41,2.0,15.0,37.0,41.3,46.0,91.4,53.5,"21,530","39,328","5,020","16,229       ",158,189       ,76.0,6.0,"625,741",20.7,14.6,38.9,61.1      ,94.3,1.5,0.9,1.3,0.3,1.7,0.0,4.9,4.2,23.1,6.4,25.4,17.9,35.7,19.1,18.5,9.0,116,0.8,1.3,142.6,2398.7,1.3,25.0,15.7,19.3,250,62920.3,60.4,37.2,10.9,56513,23688,0.1,67768.0,273597.0,947.0,80.2,37736.0,8.1,12.7,16.7,4.6,37.6,16.8,23.7,1.2,9.9,10.7
Virginia,South,SouthAtlntc,5.47,5.57,5.39,79.0,76.60,81.3,32527,40326.00,22816.00,13.5,14.80,12.23,86.5,85.20,87.77,34.2,34.75,33.77,14.2,15.32,13.11,76.9,75.09,78.17,8.2,51.0,60.9,18.8,17.5,7.4,49.54,7.0,13.0,37.0,39.1,39.7,81.2,63.9,"18,110","28,317","3,384","11,809       ",587,135       ,80.2,6.6,"8,001,024",23.2,12.2,75.5,24.5      ,64.8,7.9,19.0,5.5,0.3,2.5,0.1,8.9,6.8,25.3,7.9,29.2,27.4,27.0,20.9,17.9,14.0,2103,1.8,1.9,190.1,2162.1,3.8,70.1,11.7,17.7,505,37451.6,66.4,18.6,16.7,2836076,699355,0.4,5971.0,342737.0,1573.3,77.6,47118.0,7.3,11.1,14.5,5.0,40.4,15.8,23.8,0.5,9.2,10.4
Washington,West,Pacific,5.40,5.53,5.23,79.9,77.77,82.0,31370,38008.00,27072.00,10.2,10.89,9.52,89.8,89.11,90.48,31.1,31.71,30.43,11.1,11.55,10.72,74.9,74.06,75.89,6.3,58.2,65.6,22.8,21.1,6.9,43.19,9.0,12.0,40.0,34.4,40.4,77.2,48.3,"16,253","36,117","3,266","10,537       ",665,162       ,86.1,8.1,"6,724,540",23.5,12.3,84.0,16.0      ,72.5,11.2,3.4,7.1,1.3,4.4,0.3,8.0,4.5,21.1,6.9,26.5,26.7,27.1,17.5,17.8,14.0,1368,1.4,1.6,295.6,3658.6,3.0,54.6,13.9,31.8,266,65214.9,64.1,32.7,12.2,7528351,5506956,0.1,34115.0,323884.0,1009.4,76.4,45942.0,8.6,13.4,18.2,6.5,37.2,16.7,24.2,1.4,9.3,11.1
West Virginia,South,SouthAtlntc,3.95,4.00,3.91,75.4,72.77,78.1,25475,31598.00,25385.00,16.8,18.04,15.60,83.2,81.96,84.40,17.5,17.26,17.77,6.6,6.31,6.95,75.5,74.01,77.39,9.2,62.8,73.3,21.7,30.2,9.9,32.23,1.0,16.0,51.0,26.7,21.3,78.3,59.2,"12,799","18,256","2,871","11,457       ",1009,94       ,71.2,10.0,"1,852,994",20.9,16.0,48.7,51.3      ,93.2,1.2,3.4,0.7,0.2,1.4,0.1,9.2,7.3,36.9,11.9,32.4,44.8,25.5,28.6,10.1,14.0,448,2.0,1.9,316.3,2364.9,3.9,71.2,14.1,22.7,334,32945.4,46.3,16.4,63.0,6362782,844395,6.1,764.0,455110.0,2987.9,67.3,29427.0,7.3,18.1,25.5,6.6,29.8,18.5,24.0,0.6,13.0,14.1
Wisconsin,MidWest,EastNorthCntrl,5.16,5.14,5.12,80.0,77.48,82.4,28181,33248.00,20583.00,9.9,10.57,9.22,90.1,89.43,90.78,26.3,25.96,26.72,9.0,9.31,8.67,78.0,76.39,79.30,7.0,55.6,66.4,8.9,22.8,7.1,45.31,5.0,14.0,39.0,33.6,41.0,91.1,60.1,"13,819","31,442","3,695","11,887       ",842,199       ,80.3,5.4,"5,686,986",23.6,13.7,70.2,29.8      ,83.3,5.9,6.2,2.3,0.9,1.5,0.1,4.7,5.8,26.1,7.2,27.7,26.2,26.8,20.9,24.3,10.0,1041,1.7,1.3,280.5,2453.8,3.0,63.9,13.4,21.3,386,51618.1,72.5,22.0,19.7,2721337,393954,1.3,56516.0,335324.0,1739.6,81.0,38845.0,7.3,13.2,19.1,7.2,32.7,15.7,24.3,0.9,8.5,17.9
Wyoming,West,Mountain,4.83,5.10,4.57,78.3,76.03,80.8,28739,37153.00,23393.00,7.7,8.23,7.21,92.3,91.77,92.79,24.1,23.98,24.26,8.4,9.01,7.83,73.4,73.57,71.94,9.0,59.1,65.6,19.7,18.5,6.8,40.68,3.0,17.0,37.0,34.4,37.4,80.3,60.4,"11,467",,"2,164","15,810       ",94,140       ,80.0,6.6,"563,626",24.0,12.4,64.8,35.2      ,85.9,8.9,0.8,0.8,2.1,1.6,0.1,5.9,6.8,27.7,7.4,25.0,39.0,19.7,23.0,18.9,18.0,135,1.8,1.8,201.4,2293.8,2.4,35.7,22.4,26.7,389,482.4,58.9,16.7,120.0,628883,136509,6.8,É,902917.0,10173.0,79.9,54969.0,5.2,11.2,14.3,4.9,29.8,16.0,24.1,1.7,15.5,13.0